item_code,name,hardware_type,brand,series,runner_height,runner_depth,handling_cost,unit_cost,machining_cost,assembly_cost,source_category,product_type,product_id,raw_article_sku,sale_price_aud,rrp_aud,unit,availability,pricing_status,price_scope,review_status,visibility_status,image_url,source_image_url,source_url,captured_at,scraper_item_hash
539.40.001,"Cooktop, Hafele Gas Cooktop, 60cm",appliance,Hafele,Appliances,,,0,212.21,0,0,Appliances,appliance,P-01581828,53940001,212.21,485.58,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689558.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689558.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-gas-cooktop-60cm/P-01581828/,2026-06-21T02:39:12.869Z,d29a0d61bde9f7ac978cac89d64ea402e12ed619905af897cc723f852a286245
539.40.002,"Cooktop, Hafele Gas cooktop, 60cm",appliance,Hafele,Appliances,,,0,381.18,0,0,Appliances,appliance,P-02015478,53940002,381.18,544.54,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978520.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978520.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-gas-cooktop-60cm/P-02015478/,2026-06-21T02:39:12.868Z,18eb4790cb9c1c73401ab742a89988d19aecc79afacbaf5d3d147ba74cc0c80c
P-01581829,"Cooktop, Hafele Gas Cooktop, with Wok",appliance,Hafele,Appliances,,,0,243.57,0,0,Appliances,appliance,P-01581829,P-01581829,243.57,568.41,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689559.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689559.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-gas-cooktop-with-wok/P-01581829/,2026-06-21T02:39:12.869Z,d6b7aef1f3f8c4f2f8e82880df39f45b4d83ee14a530496cc50538416f6f68ab
539.40.012,"Cooktop, Hafele Gas cooktop, with wok, 60cm",appliance,Hafele,Appliances,,,0,444.82,0,0,Appliances,appliance,P-02015483,53940012,444.82,635.45,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978521.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978521.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-gas-cooktop-with-wok-60cm/P-02015483/,2026-06-21T02:39:12.869Z,bbe3691775be3b35541d7917b0bda9873e5f4cb0e7ce9135f3aeee9072424c08
539.40.023,"Cooktop, Hafele Gas cooktop, with wok, 90cm",appliance,Hafele,Appliances,,,0,572.09,0,0,Appliances,appliance,P-02015484,53940023,572.09,817.27,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978522.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978522.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-gas-cooktop-with-wok-90cm/P-02015484/,2026-06-21T02:39:12.869Z,1507ec10748a447abf60af73d5df3a2527496404bd1e3ca0abdcd672d066c97d
539.40.072,"Cooktop, Hafele Induction cooktop 60cm",appliance,Hafele,Appliances,,,0,667.54,0,0,Appliances,appliance,P-01966097,53940072,667.54,953.63,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.40.072-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978540.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-induction-cooktop-60cm/P-01966097/,2026-06-21T02:39:12.868Z,713f4ccb4e5208cc4f05f6fc571860cb77298a07259a075e3dfa1883b0219fb6
539.40.083,"Cooktop, Hafele Induction cooktop 90cm",appliance,Hafele,Appliances,,,0,890.27,0,0,Appliances,appliance,P-02010172,53940083,890.27,1271.81,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978529.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978529.jpg,https://www.hafele.com.au/en/product/cooktop-hafele-induction-cooktop-90cm/P-02010172/,2026-06-21T02:39:12.869Z,e5f038f5ba5fb9b5052a0460fa683f7f6309571987370f03023df3be7159776a
P-01993473,"Cooktop, Milano 4 Burner cooktop, 60cm",appliance,Hafele,Appliances,,,0,275.56,0,0,Appliances,appliance,P-01993473,P-01993473,275.56,660.23,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892350.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892350.jpg,https://www.hafele.com.au/en/product/cooktop-milano-4-burner-cooktop-60cm/P-01993473/,2026-06-21T02:39:12.869Z,7498fe036baa072200698a4dcdf808627c9eb3c1735dfc61cb2d8e94ebabcaaa
539.40.503,"Cooktop, Milano 5 Burner cooktop, 90cm",appliance,Hafele,Appliances,,,0,422.77,0,0,Appliances,appliance,P-01993474,53940503,422.77,896.38,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892371.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892371.jpg,https://www.hafele.com.au/en/product/cooktop-milano-5-burner-cooktop-90cm/P-01993474/,2026-06-21T02:39:12.869Z,1ab8f5bb045fd016f2736aa1dcb790d9a7d7025dda28ffa0652bde25decbf18f
539.40.511,"Cooktop, Milano Ceramic cooktop, 60cm",appliance,Hafele,Appliances,,,0,,0,0,Appliances,appliance,P-01993475,53940511,,660.23,Piece (PCE),,captured_rrp_buy_price_upon_request,single_article_or_default,needs_price_review,Needs Review,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892392.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892392.jpg,https://www.hafele.com.au/en/product/cooktop-milano-ceramic-cooktop-60cm/P-01993475/,2026-06-21T02:39:12.869Z,46ef86ac292fb544049dcbfdbf5201947af88a043eda100a27cdc50b49753196
539.40.512,"Cooktop, Milano Ceramic cooktop, 90cm",appliance,Hafele,Appliances,,,0,393.34,0,0,Appliances,appliance,P-01993476,53940512,393.34,896.38,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892442.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892442.jpg,https://www.hafele.com.au/en/product/cooktop-milano-ceramic-cooktop-90cm/P-01993476/,2026-06-21T02:39:12.869Z,fcb50d859154344c65066e8f3706b3cd4ea54fd065f805f22ed3404cd6bbd36f
539.40.521,"Cooktop, Milano Induction cooktop, 60cm",appliance,Hafele,Appliances,,,0,,0,0,Appliances,appliance,P-01993477,53940521,,896.38,Piece (PCE),,captured_rrp_buy_price_upon_request,single_article_or_default,needs_price_review,Needs Review,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892396.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892396.jpg,https://www.hafele.com.au/en/product/cooktop-milano-induction-cooktop-60cm/P-01993477/,2026-06-21T02:39:12.869Z,fcb9e0eb19361621fd96cceebbbf2001dab519e70cf30d334260dad02aae6f6c
565.69.997,"Cover Plate, Cabiseal™ Dishwasher, inlet/outlet hose cover plate",dishwasher,Hafele,Appliances,,,0,15.67,0,0,Appliances,dishwasher,P-01497625,56569997,15.67,20.9,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04518409.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04518409.jpg,https://www.hafele.com.au/en/product/cover-plate-cabiseal-dishwasher-inlet-outlet-hose-cover-plate/P-01497625/,2026-06-21T02:39:12.869Z,696a40b01ec94bc402516e3f1e2f316a6bb9e43db7d0585b9a4666490d378f2a
539.20.131,"Dishwasher, Hafele Compact dishwasher",dishwasher,Hafele,Appliances,,,0,487.58,0,0,Appliances,dishwasher,P-01581716,53920131,487.58,696.55,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689595.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689595.jpg,https://www.hafele.com.au/en/product/dishwasher-hafele-compact-dishwasher/P-01581716/,2026-06-21T02:39:12.868Z,798eaecba3d1bf10fc9cc9169b6ffe5a2e1dfc65d9e7e2238165b73ae6bdacc1
539.20.111,"Dishwasher, Hafele Freestanding dishwasher, 60cm",dishwasher,Hafele,Appliances,,,0,675.92,0,0,Appliances,dishwasher,P-01581714,53920111,675.92,965.59,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.20.111-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689593.jpg,https://www.hafele.com.au/en/product/dishwasher-hafele-freestanding-dishwasher-60cm/P-01581714/,2026-06-21T02:39:12.868Z,a8395db2b9a8f54a78c657eb5900311e9997a22c31165885ed8f2682fd281ac1
539.20.121,"Dishwasher, Hafele Integrated dishwasher, 60cm",dishwasher,Hafele,Appliances,,,0,766.6,0,0,Appliances,dishwasher,P-01581715,53920121,766.6,1095.15,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.20.121-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689594.jpg,https://www.hafele.com.au/en/product/dishwasher-hafele-integrated-dishwasher-60cm/P-01581715/,2026-06-21T02:39:12.868Z,a4684c3597a3efcd7f77551632f2d253afc535681819814405b5bc04fd5a64dc
532.84.790,"Door panel, for compact dishwasher",dishwasher,Hafele,Appliances,,,0,80.03,0,0,Appliances,dishwasher,P-01957980,53284790,80.03,114.32,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04836604.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04836604.jpg,https://www.hafele.com.au/en/product/door-panel-for-compact-dishwasher/P-01957980/,2026-06-21T02:39:12.869Z,eca03fbec34e4f44a1e81d9cdd635a7492e0b2471c8ce92c5b72a84bf983f643
539.90.552,"Dryer, Hafele heat pump dryer, 8kg",laundry_appliance,Hafele,Appliances,,,0,635.73,0,0,Appliances,laundry_appliance,P-02020196,53990552,635.73,908.18,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04942517.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04942517.jpg,https://www.hafele.com.au/en/product/dryer-hafele-heat-pump-dryer-8kg/P-02020196/,2026-06-21T02:39:12.869Z,5123815ff9d9e3cb9731531381ee11fd3ea8a7238aac645014fd26ee1239da84
539.90.550,"Dryer, Hafele Vented dryer, 7kg",laundry_appliance,Hafele,Appliances,,,0,368.58,0,0,Appliances,laundry_appliance,P-01581724,53990550,368.58,526.54,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04944459.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04944459.jpg,https://www.hafele.com.au/en/product/dryer-hafele-vented-dryer-7kg/P-01581724/,2026-06-21T02:39:12.868Z,e14a89d67abdb221299a4fc1dc53130273da78cca4f40c54f4a47ab3ac8b1fe2
568.16.020,"Follower hinge, For built-in refrigerators behind furniture doors",appliance,Hafele,Appliances,,,0,55.25,0,0,Appliances,appliance,P-00859620,56816020,55.25,78.93,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00630484.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-00630484.jpg,https://www.hafele.com.au/en/product/follower-hinge-for-built-in-refrigerators-behind-furniture-doors/P-00859620/,2026-06-21T02:39:12.869Z,2b093287db0dc2be720b996905dbc8639e0162579b54ae317903b7613592116e
538.31.370,"Microwave, Built in microwave, 60cm",appliance,Hafele,Appliances,,,0,351.47,0,0,Appliances,appliance,P-01994458,53831370,351.47,485.48,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892347.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04892347.jpg,https://www.hafele.com.au/en/product/microwave-built-in-microwave-60cm/P-01994458/,2026-06-21T02:39:12.869Z,8a3c76cf6f66be7fc2f95b74925560284726477ae759796dbbc6cde9978f3113
539.30.030,"Microwave, Hafele Built in microwave, 25L",appliance,Hafele,Appliances,,,0,452.71,0,0,Appliances,appliance,P-01581723,53930030,452.71,646.73,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.30.030-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689566.jpg,https://www.hafele.com.au/en/product/microwave-hafele-built-in-microwave-25l/P-01581723/,2026-06-21T02:39:12.868Z,3e4dba903361fecb2153a652c174e99a2ee150b6e84a22dd5bb17c6816118728
588.59.991,"Mini stop, for washing machine",laundry_appliance,Hafele,Appliances,,,0,24.94,0,0,Appliances,laundry_appliance,P-02030303,58859991,24.94,31.17,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04957250.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04957250.jpg,https://www.hafele.com.au/en/product/mini-stop-for-washing-machine/P-02030303/,2026-06-21T02:39:12.869Z,68a94d53789b778cac6e08833a26cf7b958ba661cbd4076e46c18e613c93bd01
539.60.632,"Oven, Hafele 5 Function Oven, 60cm",appliance,Hafele,Appliances,,,0,472.13,0,0,Appliances,appliance,P-02010171,53960632,472.13,726.36,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.60.632-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04974282.jpg,https://www.hafele.com.au/en/product/oven-hafele-5-function-oven-60cm/P-02010171/,2026-06-21T02:39:12.867Z,cf0a2c826dbebc16de37da2022169a33699ee8a84905db58f81672dec8440aef
P-01581821,"Oven, Hafele 5 Function side opening oven, 60cm",appliance,Hafele,Appliances,,,0,679.46,0,0,Appliances,appliance,P-01581821,P-01581821,679.46,1045.32,Piece (PCE),,captured_logged_in_category,from_price_product_family,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689568.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04689568.jpg,https://www.hafele.com.au/en/product/oven-hafele-5-function-side-opening-oven-60cm/P-01581821/,2026-06-21T02:39:12.869Z,92c7e20685f7148ef4398fd08c26de39ed65cf7babf66d4995a7c98cf51b1bb3
539.60.843,"Oven, Hafele 11 Function oven with air fry",appliance,Hafele,Appliances,,,0,1181.23,0,0,Appliances,appliance,P-02010009,53960843,1181.23,1817.27,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978525.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978525.jpg,https://www.hafele.com.au/en/product/oven-hafele-11-function-oven-with-air-fry/P-02010009/,2026-06-21T02:39:12.869Z,16c84fc77293fb89533dc996626be93b0830f014906efa523fa000f2c64fc77a
539.60.842,"Oven, Hafele 13 Function Oven, 60cm",appliance,Hafele,Appliances,,,0,590.32,0,0,Appliances,appliance,P-02010170,53960842,590.32,908.18,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.60.842-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04978530.jpg,https://www.hafele.com.au/en/product/oven-hafele-13-function-oven-60cm/P-02010170/,2026-06-21T02:39:12.868Z,8db4d673ccef4a7dc80c1544af40e591289c5fe6b2490f1ca63f4212190eeca4
539.60.841,"Oven, Hafele 15 function pyrolytic oven with air fry",appliance,Hafele,Appliances,,,0,1003.95,0,0,Appliances,appliance,P-01933295,53960841,1003.95,1544.54,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,/data/bower-supplier-catalog/assets/hafele/products/539.60.841-01.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04825174.jpg,https://www.hafele.com.au/en/product/oven-hafele-15-function-pyrolytic-oven-with-air-fry/P-01933295/,2026-06-21T02:39:12.868Z,7e02a605961b50e31ff300f74fa8e0d35f0a3c422d51c49bb4877ee8cbc899bc
538.01.183,"Oven, Milano 9 function Oven, 90 cm",appliance,Hafele,Appliances,,,0,687.87,0,0,Appliances,appliance,P-01538899,53801183,687.87,1693.15,Piece (PCE),,captured_logged_in_category,single_article_or_default,approved,Available,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04825401.jpg,https://www.hafele.com.au/hap-live/static/WFS/Haefele-HAA-Site/-/Haefele/en_AU/pim/images/huge/ppic-04825401.jpg,https://www.hafele.com.au/en/product/oven-milano-9-function-oven-90-cm/P-01538899/,2026-06-21T02:39:12.869Z,ba81c1b60f54d1b895bfeb1ee6459afe046595dcb3c23b1b9adb6fb338ce9aae
